lat,lon,score,type,statut,source
36.87895,10.32797,1578.816,organique,recommandé,near_food_poi
36.879643,10.32652,1060.21,organique,recommandé,near_food_poi
36.880424,10.328233,841.753,organique,recommandé,near_food_poi
36.877407,10.327568,559.447,organique,recommandé,near_food_poi
36.879871,10.324853,204.031,organique,recommandé,near_food_poi
36.883738,10.332018,60.299,organique,recommandé,near_food_poi
36.872677,10.339787,46.348,organique,recommandé,near_food_poi
36.885589,10.323443,45.186,organique,recommandé,near_food_poi
36.882548,10.332919,42.168,organique,recommandé,near_food_poi
36.869687,10.343566,40.148,organique,recommandé,near_food_poi
36.884551,10.330623,39.584,organique,recommandé,near_food_poi
36.871016,10.34825,35.059,organique,recommandé,near_food_poi
36.871717,10.338113,33.288,organique,recommandé,near_food_poi
36.905491,10.298765,32.445,organique,recommandé,near_food_poi
36.882608,10.30787,26.923,organique,recommandé,near_food_poi
36.878751,10.305941,26.726,organique,recommandé,near_food_poi
36.876138,10.308364,26.514,organique,recommandé,near_food_poi
36.889013,10.321855,25.014,organique,recommandé,near_food_poi
36.888689,10.304836,24.515,organique,recommandé,near_food_poi
36.885272,10.32167,23.306,organique,recommandé,near_food_poi
36.866488,10.296765,22.285,organique,recommandé,near_food_poi
36.894393,10.295291,21.281,organique,recommandé,near_food_poi
36.902702,10.294246,21.261,organique,recommandé,near_food_poi
36.848843,10.326672,20.457,organique,recommandé,near_food_poi
36.870801,10.342362,20.43,organique,recommandé,near_food_poi
36.883738,10.333815,19.992,organique,recommandé,near_food_poi
36.885136,10.325085,19.59,organique,recommandé,near_food_poi
36.845816,10.320758,19.4,organique,recommandé,near_food_poi
36.87394,10.340382,19.026,organique,recommandé,near_food_poi
36.870484,10.345962,18.758,organique,recommandé,near_food_poi
36.855437,10.296567,17.962,organique,recommandé,near_food_poi
36.875822,10.328616,17.944,organique,recommandé,near_food_poi
36.886687,10.316361,17.731,organique,recommandé,near_food_poi
36.880605,10.333625,17.304,organique,recommandé,near_food_poi
36.909773,10.291327,16.296,organique,recommandé,near_food_poi
36.90433,10.297841,16.232,organique,recommandé,near_food_poi
36.870929,10.350175,15.749,organique,recommandé,near_food_poi
36.88207,10.306159,15.488,organique,recommandé,near_food_poi
36.884551,10.328826,15.171,organique,recommandé,near_food_poi
36.871359,10.336259,14.317,organique,recommandé,near_food_poi
36.908161,10.29643,14.147,organique,recommandé,near_food_poi
36.863603,10.289733,12.798,organique,recommandé,near_food_poi
36.871392,10.311498,12.659,organique,recommandé,near_food_poi
36.883518,10.309457,12.13,organique,recommandé,near_food_poi
36.85492,10.289152,11.928,organique,recommandé,near_food_poi
36.870771,10.325322,11.863,organique,recommandé,near_food_poi
36.874638,10.318996,11.856,organique,recommandé,near_food_poi
36.841149,10.317926,11.693,organique,recommandé,near_food_poi
36.887775,10.301634,11.394,organique,recommandé,near_food_poi
36.905491,10.300563,11.358,organique,recommandé,near_food_poi
36.868282,10.350677,11.342,organique,recommandé,near_food_poi
36.866684,10.3058,10.937,organique,recommandé,near_food_poi
36.901965,10.316912,10.925,organique,recommandé,near_food_poi
36.894627,10.296976,10.433,organique,recommandé,near_food_poi
36.853818,10.329613,10.296,organique,recommandé,near_food_poi
36.846829,10.311077,10.23,organique,recommandé,near_food_poi
36.8792,10.307611,9.779,organique,recommandé,near_food_poi
36.88661,10.322261,9.64,organique,recommandé,near_food_poi
36.845791,10.322543,9.36,organique,recommandé,near_food_poi
36.885801,10.332113,9.256,organique,recommandé,near_food_poi
36.911446,10.295377,9.137,organique,recommandé,near_food_poi
36.889458,10.312788,9.032,organique,recommandé,near_food_poi
36.866818,10.31506,9.011,organique,recommandé,near_food_poi
36.889782,10.305981,8.863,organique,recommandé,near_food_poi
36.853674,10.334845,8.711,organique,recommandé,near_food_poi
36.857798,10.317775,8.701,organique,recommandé,near_food_poi
36.862894,10.340827,8.583,organique,recommandé,near_food_poi
36.868965,10.319552,8.572,organique,recommandé,near_food_poi
36.875467,10.310014,8.569,organique,recommandé,near_food_poi
36.848988,10.32836,8.329,organique,recommandé,near_food_poi
36.858234,10.298593,8.094,organique,recommandé,near_food_poi
36.857426,10.293485,8.082,organique,recommandé,near_food_poi
36.901425,10.292623,8.073,organique,recommandé,near_food_poi
36.873561,10.338248,8.038,organique,recommandé,near_food_poi
36.915763,10.318454,8.028,organique,recommandé,near_food_poi
36.88966,10.323358,7.894,organique,recommandé,near_food_poi
36.882375,10.337499,7.827,organique,recommandé,near_food_poi
36.852549,10.326124,7.276,organique,recommandé,near_food_poi
36.866488,10.294969,7.03,organique,recommandé,near_food_poi
36.886937,10.318087,6.922,organique,recommandé,near_food_poi
36.842762,10.314059,6.866,organique,recommandé,near_food_poi
36.847826,10.316727,6.862,organique,recommandé,near_food_poi
36.911988,10.318425,6.789,organique,recommandé,near_food_poi
36.905032,10.314144,6.789,organique,recommandé,near_food_poi
36.892616,10.317572,6.789,organique,recommandé,near_food_poi
36.890758,10.2978,6.789,organique,recommandé,near_food_poi
36.880056,10.343051,6.789,organique,recommandé,near_food_poi
36.87865,10.289403,6.789,organique,recommandé,near_food_poi
36.876979,10.295034,6.789,organique,recommandé,near_food_poi
36.875251,10.288782,6.789,organique,recommandé,near_food_poi
36.868196,10.287962,6.789,organique,recommandé,near_food_poi
36.866573,10.335586,6.789,organique,recommandé,near_food_poi
36.859854,10.32704,6.789,organique,recommandé,near_food_poi
36.856067,10.32614,6.789,organique,recommandé,near_food_poi
36.840114,10.326235,6.789,organique,recommandé,near_food_poi
36.850273,10.331945,6.767,organique,recommandé,near_food_poi
36.878603,10.303918,6.698,organique,recommandé,near_food_poi
36.881825,10.327142,6.285,organique,recommandé,near_food_poi
36.908724,10.288656,5.815,organique,recommandé,near_food_poi
36.883815,10.324083,5.715,organique,recommandé,near_food_poi
36.879569,10.33232,5.569,organique,recommandé,near_food_poi
36.881833,10.304267,5.529,organique,recommandé,near_food_poi
36.869157,10.307288,5.258,organique,recommandé,near_food_poi
36.896176,10.293971,4.862,organique,recommandé,near_food_poi
36.875822,10.330413,4.702,organique,recommandé,near_food_poi
36.876428,10.325846,4.446,organique,recommandé,near_food_poi
36.872204,10.341398,4.262,organique,recommandé,near_food_poi
36.90244,10.289647,4.119,organique,recommandé,near_food_poi
36.909773,10.293125,3.979,organique,recommandé,near_food_poi
36.899424,10.294008,3.671,organique,recommandé,near_food_poi
36.856318,10.290018,3.495,organique,recommandé,near_food_poi
36.889055,10.320144,2.95,organique,recommandé,near_food_poi
36.887879,10.306251,2.746,organique,recommandé,near_food_poi
36.867139,10.348667,2.731,organique,recommandé,near_food_poi
36.906561,10.295649,2.658,organique,recommandé,near_food_poi
36.848843,10.324876,2.486,organique,recommandé,near_food_poi
36.886687,10.314564,2.4,organique,recommandé,near_food_poi
36.848704,10.311666,2.258,organique,recommandé,near_food_poi
36.874638,10.317199,2.09,organique,recommandé,near_food_poi
36.917072,10.316456,1.884,organique,recommandé,near_food_poi
36.870771,10.323525,1.873,organique,recommandé,near_food_poi
36.867943,10.30395,1.626,organique,recommandé,near_food_poi
36.865057,10.290037,1.536,organique,recommandé,near_food_poi
36.865316,10.3163,1.492,organique,recommandé,near_food_poi
36.874114,10.321343,1.481,organique,recommandé,near_food_poi
36.868282,10.352473,1.375,organique,recommandé,near_food_poi
36.871392,10.309701,1.176,organique,recommandé,near_food_poi
36.860115,10.298231,1.157,organique,recommandé,near_food_poi
36.884555,10.319966,1.131,organique,recommandé,near_food_poi
36.840192,10.319354,1.099,organique,recommandé,near_food_poi
36.885975,10.329778,1.049,organique,recommandé,near_food_poi
36.868737,10.315274,0.992,organique,recommandé,near_food_poi
36.911534,10.290631,0.438,organique,recommandé,near_food_poi
36.857798,10.319571,0.323,organique,recommandé,near_food_poi
36.879871,10.323056,0.028,organique,recommandé,near_food_poi
36.912953,10.294896,-0.363,organique,recommandé,near_food_poi
36.882078,10.334606,-0.585,organique,recommandé,near_food_poi
36.853818,10.33141,-0.669,organique,recommandé,near_food_poi
36.840114,10.328031,-1.362,organique,recommandé,near_food_poi
36.852549,10.324328,-1.362,organique,recommandé,near_food_poi
36.859854,10.325244,-1.362,organique,recommandé,near_food_poi
36.866573,10.337382,-1.362,organique,recommandé,near_food_poi
36.876979,10.293237,-1.362,organique,recommandé,near_food_poi
36.880056,10.341254,-1.362,organique,recommandé,near_food_poi
36.890758,10.299597,-1.362,organique,recommandé,near_food_poi
36.892616,10.315775,-1.362,organique,recommandé,near_food_poi
36.905032,10.312346,-1.362,organique,recommandé,near_food_poi
36.911988,10.320223,-1.362,organique,recommandé,near_food_poi
36.868196,10.289759,-1.367,organique,recommandé,near_food_poi
36.847171,10.319851,-2.1,organique,recommandé,near_food_poi
36.871821,10.326627,-2.106,organique,recommandé,near_food_poi
36.888689,10.303039,-2.799,organique,recommandé,near_food_poi
36.84139,10.315704,-2.805,organique,recommandé,near_food_poi
36.847826,10.314931,-3.211,organique,recommandé,near_food_poi
36.858234,10.30039,-3.834,organique,recommandé,near_food_poi
36.904286,10.295946,-3.846,organique,recommandé,near_food_poi
36.856067,10.327936,-3.879,organique,recommandé,near_food_poi
36.868965,10.321349,-3.882,organique,recommandé,near_food_poi
36.909569,10.296475,-4.657,organique,recommandé,near_food_poi
36.857426,10.295282,-4.856,organique,recommandé,near_food_poi
36.87034,10.352182,-4.904,organique,recommandé,near_food_poi
36.88754,10.331296,-5.076,organique,recommandé,near_food_poi
36.888758,10.317154,-5.418,organique,recommandé,near_food_poi
36.906821,10.298255,-5.523,organique,recommandé,near_food_poi
36.895964,10.295872,-5.883,organique,recommandé,near_food_poi
36.857539,10.290971,-5.946,organique,recommandé,near_food_poi
36.850278,10.327549,-5.982,organique,recommandé,near_food_poi
36.899424,10.29221,-6.071,organique,recommandé,near_food_poi
36.869643,10.317833,-6.078,organique,recommandé,near_food_poi
36.888079,10.323596,-6.755,organique,recommandé,near_food_poi
36.865316,10.314504,-7.138,organique,recommandé,near_food_poi
36.885801,10.333909,-7.56,organique,recommandé,near_food_poi
36.846829,10.312873,-9.356,organique,recommandé,near_food_poi
36.882556,10.325655,-9.67,organique,recommandé,near_food_poi
36.90244,10.291444,-11.381,organique,recommandé,near_food_poi
36.850273,10.330149,-11.889,organique,recommandé,near_food_poi
36.853521,10.327407,-13.3,organique,recommandé,near_food_poi
36.911534,10.292428,-16.218,organique,recommandé,near_food_poi
36.886438,10.320025,-16.473,organique,recommandé,near_food_poi
36.883271,10.327471,-18.354,organique,recommandé,near_food_poi
36.850278,10.325752,-19.088,organique,recommandé,near_food_poi
36.875251,10.290579,-103.306,organique,recommandé,near_food_poi
36.889458,10.314585,-106.18,organique,recommandé,near_food_poi
