lat,lon,type,nom,category,source
36.8366973,10.1088765,cafe,Inconnu,food,osm
36.8368165,10.1090978,cafe,Inconnu,food,osm
36.8338655,10.1174499,cafe,Inconnu,food,osm
36.8332387,10.1169349,cafe,Inconnu,food,osm
36.8324014,10.1162388,fast_food,Inconnu,food,osm
36.832015,10.1159156,fast_food,Inconnu,food,osm
36.8305219,10.1146885,cafe,Inconnu,food,osm
36.8300345,10.1144418,cafe,Inconnu,food,osm
36.8291919,10.1146067,restaurant,Inconnu,food,osm
36.831094,10.1151807,fast_food,Inconnu,food,osm
36.829629,10.1114064,cafe,Inconnu,food,osm
36.8302843,10.1095154,fast_food,Inconnu,food,osm
36.8300042,10.1115237,fast_food,Inconnu,food,osm
36.832286,10.1101916,cafe,Inconnu,food,osm
36.8297411,10.1117243,fast_food,Inconnu,food,osm
36.82766,10.1143657,fast_food,Inconnu,food,osm
36.8278832,10.1143657,fast_food,Inconnu,food,osm
36.8303583,10.112083,school,مدرستي التّعليم الأساسي التّضامن 1 والتّضامن 1 مكرر,school,osm
36.8336288,10.1157692,park,Inconnu,park,osm
36.8332429,10.1152129,school,المردرسة الإعداديّة التّضامن 5,school,osm
36.8330085,10.1147027,school,مدرسة طارق ابن زياد التّضامن 5,school,osm
36.8354571,10.1127826,park,Inconnu,park,osm
36.8373568,10.1160933,cafe,Omran,food,osm
36.8369081,10.1155786,fast_food,Inconnu,food,osm
36.8303465,10.1088564,garden,Inconnu,park,osm
36.8296337,10.1113889,cafe,Inconnu,food,osm
36.8364487,10.114081,fast_food,Inconnu,food,osm
36.8362553,10.1140746,fast_food,Inconnu,food,osm
36.8295419,10.1105051,cafe,Inconnu,food,osm
