lat,lon,type,nom,category,source
36.8094909,10.1383152,supermarket,مونوبري,food,osm
36.8104532,10.1398602,bakery,Inconnu,food,osm
36.8095138,10.1526673,bakery,مخبزة الكيلاني,food,osm
36.8139805,10.1465708,cafe,jasmin,food,osm
36.814182,10.1462647,cafe,Inconnu,food,osm
36.8131539,10.1452849,cafe,Inconnu,food,osm
36.8129666,10.1450014,restaurant,كتكوت,food,osm
36.812952,10.1449404,cafe,Inconnu,food,osm
36.8128966,10.1464617,supermarket,Inconnu,food,osm
36.8127501,10.1489899,cafe,Maido,food,osm
36.8124954,10.1494633,cafe,Tej,food,osm
36.8107673,10.1408787,cafe,africa,food,osm
36.8111221,10.1418974,restaurant,piramide,food,osm
36.8171252,10.1427643,bakery,مخبزة مرطبات رنيم,food,osm
36.8125526,10.140564,supermarket,Supermarché 3am boubaker,food,osm
36.8140413,10.1347265,school,المدرسة الإعدادية فطومة بورقيبة باردو,school,osm
36.8098515,10.1392042,cafe,Inconnu,food,osm
36.8089147,10.1345531,cafe,Inconnu,food,osm
36.8100035,10.1377564,restaurant,Bon Goût Le Bardo,food,osm
36.8077852,10.1381373,restaurant,Tivoli,food,osm
36.8088246,10.1383626,restaurant,Les Trois Fourchette,food,osm
36.8092111,10.1379441,cafe,Café Tunis,food,osm
36.8092841,10.1377161,cafe,Brothers Coffee Bardo,food,osm
36.8096556,10.1370912,restaurant,Maxi Food,food,osm
36.8099305,10.1371663,restaurant,Gourmandise Bardo Center,food,osm
36.8095764,10.132477,cafe,Café Ghazala,food,osm
36.8078306,10.1384729,restaurant,Salsa Pizza,food,osm
36.8100405,10.1323266,cafe,Dash,food,osm
36.8104868,10.1328256,cafe,Café Mix,food,osm
36.8107474,10.1417806,restaurant,باغيت وباغيت,food,osm
36.811059,10.1426119,cafe,Bardo Time,food,osm
36.8129791,10.14851,cafe,Chez Zak,food,osm
36.8181748,10.1405007,university,Inconnu,school,osm
36.8139142,10.1455379,university,المبيت الجامعي باردو 1,school,osm
36.8113021,10.1269059,school,مدرسة ثانوية,school,osm
36.8072011,10.1248834,school,معهد خزندار,school,osm
36.8112178,10.1306378,garden,Palais Ksar Saïd,park,osm
36.8085097,10.1346561,garden,Bardo,park,osm
36.8083229,10.1505316,park,Inconnu,park,osm
36.8085902,10.1374957,school,École Primaire Avenue Habib Bourguiba,school,osm
36.8101422,10.1415363,school,École Primaire Rue Tazarka,school,osm
36.8078159,10.1471063,school,École Primaire Publique: Rue des pins,school,osm
36.8215009,10.1314488,school,Lycée El Hadika,school,osm
36.8079155,10.1381475,cafe,Follow Me,food,osm
