lat,lon,type,nom,category,source
36.850009,10.3266505,cafe,Uranium,food,osm
36.8522792,10.3252258,restaurant,فيلا ديدون,food,osm
36.8496524,10.3269367,cafe,Mirador,food,osm
36.8696826,10.3251608,cafe,Cesar Lounge,food,osm
36.8490064,10.3263357,restaurant,Le Gavroche,food,osm
36.8500033,10.3310469,restaurant,"Restaurant ""Neptune""",food,osm
36.8485732,10.3257739,restaurant,Tchevap,food,osm
36.848279,10.3282387,fast_food,Traiteur Matri,food,osm
36.8475569,10.3158292,cafe,Café Gassa,food,osm
36.857529,10.3186728,bar,Inconnu,food,osm
36.8557979,10.3270381,restaurant,Le Macaron Mme Bouzguanda,food,osm
36.8535393,10.330008,fast_food,بيتزا فون,food,osm
36.8535483,10.3305115,restaurant,Nouez-moi,food,osm
36.8491536,10.326648,restaurant,Tchevap,food,osm
36.8484473,10.3273495,restaurant,10 RUE PLINE,food,osm
36.8595849,10.3261418,cafe,The Hills,food,osm
36.8529293,10.3235541,park,Inconnu,park,osm
36.8460369,10.3213768,restaurant,Inconnu,food,osm
36.8455466,10.3216559,restaurant,Inconnu,food,osm
36.8456419,10.3216506,restaurant,Inconnu,food,osm
36.8456893,10.3215717,cafe,Inconnu,food,osm
36.8693732,10.3187311,restaurant,Qian House,food,osm
36.8704651,10.3365332,fast_food,samsoun,food,osm
36.8464527,10.3195144,restaurant,La Carthagenoise,food,osm
36.8415622,10.3177246,cafe,Café Villagio,food,osm
36.8575631,10.3185111,restaurant,Le Phénix de Carthage,food,osm
36.857574,10.3185394,garden,Inconnu,park,osm
36.8694142,10.3255501,garden,Inconnu,park,osm
36.8506102,10.3181629,park,Inconnu,park,osm
36.8436312,10.3205613,park,Inconnu,park,osm
36.848094,10.3246106,park,المتحف المسيحي المبكر بقرطاج,park,osm
36.8529912,10.3247563,garden,Inconnu,park,osm
36.8601138,10.3347204,park,Inconnu,park,osm
36.8596373,10.3243825,park,Inconnu,park,osm
36.8591968,10.3355461,school,Lycée Carthage Présidence,school,osm
36.8574542,10.3246189,park,Inconnu,park,osm
36.862119,10.3378447,university,معهد الدراسات العليا التجارية بقرطاج,school,osm
36.8717008,10.3346972,university,جامعة قرطاج,school,osm
36.8496298,10.3285517,school,Carthage-Dermech School,school,osm
36.8667018,10.3171469,park,Inconnu,park,osm
36.8713997,10.3194216,garden,Inconnu,park,osm
36.8687034,10.3191473,garden,Inconnu,park,osm
36.8681761,10.3187215,garden,Inconnu,park,osm
36.8659542,10.3200253,garden,Inconnu,park,osm
36.8686172,10.3267588,garden,Inconnu,park,osm
36.8687311,10.3271264,garden,Inconnu,park,osm
36.8686741,10.3269345,garden,Inconnu,park,osm
36.8683416,10.3280275,garden,Inconnu,park,osm
36.8667976,10.3247471,garden,Inconnu,park,osm
36.8695621,10.3294568,garden,Inconnu,park,osm
36.8685058,10.3251412,garden,Inconnu,park,osm
36.8675666,10.3270606,garden,Inconnu,park,osm
36.8668621,10.3264276,garden,Inconnu,park,osm
36.8688273,10.3273485,garden,Inconnu,park,osm
36.8688468,10.3290944,garden,Inconnu,park,osm
36.86699,10.3260904,garden,Inconnu,park,osm
36.8669484,10.324617,garden,Inconnu,park,osm
36.8676035,10.3263913,garden,Inconnu,park,osm
36.8692829,10.3282561,garden,Inconnu,park,osm
36.8696319,10.3289671,garden,Inconnu,park,osm
36.8686972,10.3255998,garden,Inconnu,park,osm
36.8681443,10.328181,garden,Inconnu,park,osm
36.8686754,10.3278437,garden,سكن قرطاج,park,osm
36.8675981,10.3204876,garden,Inconnu,park,osm
36.8677427,10.3213161,garden,Inconnu,park,osm
36.8675282,10.3208577,garden,Inconnu,park,osm
36.8676345,10.3210848,garden,Inconnu,park,osm
36.8674169,10.32062,garden,Inconnu,park,osm
36.8677093,10.3207252,garden,Inconnu,park,osm
36.867872,10.3210729,garden,Inconnu,park,osm
36.8677472,10.3193971,garden,Inconnu,park,osm
36.867897,10.3197128,garden,Inconnu,park,osm
36.8681089,10.3202621,garden,Inconnu,park,osm
36.868298,10.3189957,garden,Inconnu,park,osm
36.8685641,10.3205585,garden,Inconnu,park,osm
36.8681331,10.3191197,garden,Inconnu,park,osm
36.8681519,10.3208001,garden,Inconnu,park,osm
36.8677976,10.3194981,garden,Inconnu,park,osm
36.8679933,10.320621,garden,Inconnu,park,osm
36.8673832,10.3199221,garden,Inconnu,park,osm
36.8672851,10.3197088,garden,Inconnu,park,osm
36.8675386,10.3198105,garden,Inconnu,park,osm
36.8674405,10.3195971,garden,Inconnu,park,osm
36.8676409,10.3200329,garden,Inconnu,park,osm
36.8679163,10.3193742,garden,Inconnu,park,osm
36.8674854,10.3201445,garden,Inconnu,park,osm
36.8680604,10.319117,garden,Inconnu,park,osm
36.8680089,10.3194238,garden,Inconnu,park,osm
36.8680028,10.3198321,garden,Inconnu,park,osm
36.8681731,10.3200807,garden,Inconnu,park,osm
36.8682776,10.3201609,garden,Inconnu,park,osm
36.8681467,10.3202343,garden,Inconnu,park,osm
36.8680412,10.3200545,garden,Inconnu,park,osm
36.8678567,10.3199934,garden,Inconnu,park,osm
36.8677592,10.320279,garden,Inconnu,park,osm
36.8678439,10.3204425,garden,Inconnu,park,osm
36.8685519,10.3196509,garden,Inconnu,park,osm
36.8684739,10.3199917,garden,Inconnu,park,osm
36.8680085,10.3188415,garden,Inconnu,park,osm
36.8683062,10.3183963,garden,Inconnu,park,osm
36.8689132,10.3185952,garden,Inconnu,park,osm
36.868422,10.3186513,garden,Inconnu,park,osm
