sector_id,gouvernorat,gov_type,zone_type,lat,lon,population,nb_menages,taille_menage,surface_km2,densite_pop,nb_food_poi,nb_bennes_org,dist_centre,zone_coeff,nb_chiens,risk_class
TUN_0000,Tunis,urban,commercial,36.86652,10.20682,12115,3310,3.66,0.204,59411.2,19,20,0.487,1.6,1586,2
TUN_0001,Tunis,urban,residential,36.76611,10.20713,13415,4801,2.79,1.631,8224.9,5,18,0.433,1.0,965,1
TUN_0002,Tunis,urban,commercial,36.77497,10.10947,84741,20684,4.1,0.561,150949.0,32,124,0.662,1.6,14365,2
TUN_0003,Tunis,urban,park,36.87398,10.15711,15059,3956,3.81,0.493,30523.5,0,23,0.522,0.9,1349,1
TUN_0004,Tunis,urban,commercial,36.8601,10.17035,31712,7590,4.18,0.203,156411.6,32,31,0.324,1.6,5026,2
TUN_0005,Tunis,urban,commercial,36.87691,10.17886,33189,9456,3.51,2.462,13478.0,21,47,0.545,1.6,5790,2
TUN_0006,Tunis,urban,residential,36.8107,10.17675,22175,5565,3.98,2.369,9361.6,4,27,0.023,1.0,1349,1
TUN_0007,Tunis,urban,mixed,36.83408,10.16426,24028,6938,3.46,1.414,16998.2,21,30,0.193,1.3,2706,2
TUN_0008,Tunis,urban,industrial,36.86516,10.25133,31003,10598,2.93,1.111,27905.7,1,43,0.502,0.7,2632,1
TUN_0009,Tunis,urban,residential,36.82823,10.17899,9729,2752,3.53,0.456,21351.0,5,10,0.848,1.0,1140,2
TUN_0010,Tunis,urban,commercial,36.75816,10.21847,40453,13192,3.07,1.896,21333.4,32,57,0.396,1.6,8097,2
TUN_0011,Tunis,urban,residential,36.82369,10.09568,12976,3332,3.89,14.695,883.0,6,15,0.691,1.0,1132,1
TUN_0012,Tunis,urban,mixed,36.83827,10.12181,12366,3305,3.74,1.894,6530.0,18,13,0.276,1.3,1447,2
TUN_0013,Tunis,urban,mixed,36.81937,10.23254,35843,10166,3.53,5.206,6884.4,14,41,0.509,1.3,4631,2
TUN_0014,Tunis,urban,mixed,36.87345,10.16921,18044,4651,3.88,1.13,15964.4,11,24,0.967,1.3,2061,2
TUN_0015,Tunis,urban,mixed,36.78757,10.14378,27805,9706,2.86,3.813,7292.2,6,35,0.58,1.3,2345,1
TUN_0016,Tunis,urban,residential,36.87062,10.09003,27192,6914,3.93,9.005,3019.8,3,35,0.139,1.0,2204,1
TUN_0017,Tunis,urban,commercial,36.79572,10.16893,18760,4229,4.44,1.488,12609.6,17,23,0.28,1.6,4225,2
TUN_0018,Tunis,urban,park,36.92457,10.20034,12931,3465,3.73,1.008,12829.3,0,18,0.591,0.9,1241,1
TUN_0019,Tunis,urban,commercial,36.83436,10.20664,24311,7624,3.19,3.386,7179.6,16,37,0.252,1.6,3704,2
TUN_0020,Tunis,urban,residential,36.81249,10.17085,27835,8850,3.14,2.137,13026.2,10,35,0.676,1.0,3195,2
TUN_0021,Tunis,urban,mixed,36.85919,10.19669,8622,2631,3.28,1.288,6696.5,10,13,0.357,1.3,1195,2
TUN_0022,Tunis,urban,residential,36.811,10.16505,23877,7354,3.25,3.274,7292.1,3,28,0.39,1.0,1766,1
TUN_0023,Tunis,urban,residential,36.81963,10.17088,15018,4320,3.48,1.972,7613.9,4,30,0.694,1.0,1193,1
TUN_0024,Tunis,urban,industrial,36.75125,10.21763,65912,17799,3.7,1.453,45354.1,1,86,0.318,0.7,3588,1
TUN_0025,Tunis,urban,residential,36.88669,10.16027,25061,5646,4.44,0.419,59848.7,9,18,0.766,1.0,3073,2
TUN_0026,Tunis,urban,commercial,36.74229,10.22988,20008,5762,3.47,2.53,7906.9,31,26,0.742,1.6,2947,2
TUN_0027,Tunis,urban,commercial,36.79732,10.14888,14529,4084,3.56,4.928,2948.3,31,19,0.634,1.6,1522,2
TUN_0028,Tunis,urban,commercial,36.8382,10.16437,43494,12924,3.37,3.118,13950.3,25,52,0.627,1.6,4971,2
TUN_0029,Tunis,urban,mixed,36.92175,10.15003,20204,5875,3.44,0.707,28595.6,7,19,0.591,1.3,2530,2
TUN_0030,Tunis,urban,residential,36.84473,10.22623,16653,5147,3.23,1.696,9819.6,2,20,0.128,1.0,1637,1
TUN_0031,Tunis,urban,mixed,36.97294,10.22198,15491,4788,3.23,0.748,20709.8,11,21,0.254,1.3,2075,2
TUN_0032,Tunis,urban,commercial,36.7753,10.16584,13100,4232,3.09,3.338,3924.7,23,14,0.132,1.6,2488,2
TUN_0033,Tunis,urban,mixed,36.78647,10.14164,35083,11767,2.98,1.826,19217.6,10,47,0.457,1.3,4331,2
TUN_0034,Tunis,urban,residential,36.83299,10.02895,13714,6098,2.25,2.603,5269.5,7,18,0.741,1.0,1127,1
TUN_0035,Tunis,urban,mixed,36.84549,10.23808,18121,4744,3.82,3.029,5982.7,8,23,0.236,1.3,1288,1
